productcode,productname,productweight,productprice,productdescription,productdescription_abovepricing,photourl,Mariell Link,Category,SKU,Name,Description,List Price,Cost to Us,MAP Price,Weight,No. of Images,Has Options,SincereWedding Link
3963EC-JE-S,Swarovski Rounds Crystals Dangle Earrings - Jet - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-JO-S,Swarovski Rounds Crystals Dangle Earrings - Jonquil - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-LA-S,Swarovski Rounds Crystals Dangle Earrings - Lt. Amethyst - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-LC-S,Swarovski Rounds Crystals Dangle Earrings - Light Colorado - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-LR-S,Swarovski Rounds Crystals Dangle Earrings - Lt. Rose - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-LS-S,Swarovski Rounds Crystals Dangle Earrings - Lt. Sapphire - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-MN-S,Swarovski Rounds Crystals Dangle Earrings - Montana Navy - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-OL-S,Swarovski Rounds Crystals Dangle Earrings - Olivine - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-PD-S,Swarovski Rounds Crystals Dangle Earrings - Peridot - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-PE-S,Swarovski Rounds Crystals Dangle Earrings - Peach - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-RO-S,Swarovski Rounds Crystals Dangle Earrings - Rose - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-SA-S,Swarovski Rounds Crystals Dangle Earrings - Sapphire - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-SI-S,Swarovski Rounds Crystals Dangle Earrings - Siam - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-SL-S,Swarovski Rounds Crystals Dangle Earrings - Lt. Siam - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-ST-S,Swarovski Rounds Crystals Dangle Earrings - Smoked Topaz - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-TE-S,Swarovski Rounds Crystals Dangle Earrings - Blue Zircon Teal - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-TO-S,Swarovski Rounds Crystals Dangle Earrings - Topaz - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-TZ-S,Swarovski Rounds Crystals Dangle Earrings - Tanzanite - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3963EC-VI-S,Swarovski Rounds Crystals Dangle Earrings - Violet - Clip - ,0.2,13,"Mariell's wholesale Swarovski crystal drop earrings are the perfect accessory for bridal, prom, pageant or bridesmaids dresses. These linear earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - shown here in iridescent Aurora Borealis (AB). Match any special occasion dress with these popular earrings at a very attractive wholesale price! For actual crystal samples, purchase our in-store crystal samplers style OP-44 showing actual crystals in 30 dazzling colors so your customers can get an exact match to their dresses. These 6mm round earrings are offered in pierced or clip-on and can be accented in silver or gold. Our drop earrings are a fabulous staple for every jewelry showcase and will fit every customer's special occasion.","Mariell's Swarovski crystal linear dangle earrings in pierced or clip are 2 1/8"" h with 6mm round crystals. These earrings are handmade in the USA in your choice of 30 genuine Swarovski colors - perfect for bridal, prom, pageant or bridesmaids dresses.",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E,Graduated Crystal Bridal Earrings w/ Colored Pearls,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/photos/3964E-1.jpg,,,,,,,,,,,,
3964E-BL-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Blue - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-ES-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Espresso - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-EV-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Evergreen - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-GG-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Green Gold - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-GO-G,Graduated Crystal Bridal Earrings w/ Colored Pearls - Gold - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-HO-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Honey - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-HU-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Hunter - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-I-AB-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Ivory/AB - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-I-CR-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Ivory/Clear - Pierced -,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/photos/3964E-I-CR-S-1.jpg,,,,,,,,,,,,
3964E-JE-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Jet - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
3964E-LMT-S,Graduated Crystal Bridal Earrings w/ Colored Pearls - Lt. Mint - Pierced - ,0.2,7.95,"These graceful graduated earrings by Mariell are handmade in the USA in your choice of 26 spectacular colors accented by delicate seed beads. We offer our Swarovski crystal and pearl earrings in both pierced and clip-on to accommodate every bride, mother of the bride & wedding party. Our fantastic low wholesale price on these earrings make them an excellent addition to your store's accessory showcase. Shown in both Rose Champagne &  Ivory. We offer a stunning coordinating necklace 3964N sold separately.","Mariell's graduated earrings are handmade using 4mm & 6mm diamond cut Swarovski crystals with a 6mm colored pearl drop. Our 1"" h earrings are available pierced or clip in 26 colors - great for bridesmaids, brides & mothers of the bride at a super price!",http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,
